      Max Active             Beam     Lattice Beam Real-Time Factor          Latency              WER
            5000               11                3          1.03272         0.294066            28.39
            5000               11                4          1.03767         0.338509            28.39
            5000               11                5          1.03967         0.356509            28.39
            5000               11                6          1.04719         0.424098            28.39
            5000               11                7          1.05729         0.514819            28.39
            5000               12                3          1.03772         0.338946            28.18
            5000               12                4          1.04096         0.368108            28.18
            5000               12                5          1.04619         0.415046            28.18
            5000               12                6          1.05462         0.490856            28.18
            5000               12                7          1.06659         0.598432            28.18
            5000               13                3          1.04348          0.39071            28.22
            5000               13                4          1.04745         0.426394            28.22
            5000               13                5           1.0527         0.473547            28.22
            5000               13                6          1.06159         0.553457            28.22
            5000               13                7          1.07498         0.673815            28.22
            5000               14                3          1.04817         0.432918            28.26
            5000               14                4          1.05193         0.466691            28.26
            5000               14                5          1.05766         0.518171            28.26
            5000               14                6          1.06705         0.602576            28.26
            5000               14                7          1.08076           0.7257            28.26
            5000               15                3          1.05349         0.480659            28.39
            5000               15                4          1.05801         0.521341            28.39
            5000               15                5          1.06426         0.577483            28.39
            5000               15                6          1.07473         0.671562            28.39
            5000               15                7          1.08897         0.799513            28.39
            5500               11                3          1.03164         0.284337            28.39
            5500               11                4          1.03489         0.313538            28.39
            5500               11                5          1.03936         0.353669            28.39
            5500               11                6          1.04643         0.417248            28.39
            5500               11                7          1.05727         0.514631            28.39
            5500               12                3           1.0375         0.337003            28.18
            5500               12                4            1.041         0.368436            28.18
            5500               12                5          1.04626         0.415745            28.18
            5500               12                6          1.05424         0.487398            28.18
            5500               12                7           1.0659         0.592229            28.18
            5500               13                3           1.0441         0.396264            28.22
            5500               13                4          1.04785         0.430043            28.22
            5500               13                5          1.05367         0.482275            28.22
            5500               13                6          1.06278         0.564166            28.22
            5500               13                7          1.07636          0.68624            28.22
            5500               14                3          1.05082         0.456714            28.26
            5500               14                4          1.05511         0.495223            28.26
            5500               14                5          1.06131         0.550951            28.26
            5500               14                6          1.07018          0.63063            28.26
            5500               14                7          1.08454         0.759722            28.26
            5500               15                3          1.05835          0.52439            28.39
            5500               15                4          1.06276         0.563997            28.39
            5500               15                5          1.07221          0.64895            28.39
            5500               15                6          1.08114         0.729174            28.39
            5500               15                7          1.10068         0.904795            28.39
            6000               11                3          1.03193         0.286975            28.39
            6000               11                4            1.035         0.314531            28.39
            6000               11                5          1.03966         0.356387            28.39
            6000               11                6          1.04655         0.418277            28.39
            6000               11                7          1.05698         0.512053            28.39
            6000               12                3          1.03836         0.344719            28.18
            6000               12                4          1.04149         0.372815            28.18
            6000               12                5          1.04714         0.423586            28.18
            6000               12                6          1.05566          0.50019            28.18
            6000               12                7          1.06744         0.606026            28.18
            6000               13                3          1.04602         0.413556            28.22
            6000               13                4          1.04967         0.446347            28.22
            6000               13                5          1.05548         0.498566            28.22
            6000               13                6          1.06495         0.583663            28.22
            6000               13                7          1.07864          0.70665            28.22
            6000               14                3          1.05367         0.482333            28.26
            6000               14                4          1.05775         0.518992            28.26
            6000               14                5          1.06404         0.575452            28.26
            6000               14                6          1.07381         0.663295            28.26
            6000               14                7          1.09089         0.816807            28.26
            6000               15                3          1.06314         0.567427            28.39
            6000               15                4          1.06983         0.627553            28.39
            6000               15                5          1.07844         0.704932            28.39
            6000               15                6          1.09139         0.821233            28.39
            6000               15                7          1.10842         0.974342            28.39
            6500               11                3          1.03199         0.287438            28.39
            6500               11                4          1.03513         0.315702            28.39
            6500               11                5          1.03977         0.357366            28.39
            6500               11                6          1.04692         0.421644            28.39
            6500               11                7          1.05718          0.51386            28.39
            6500               12                3          1.03884         0.349071            28.22
            6500               12                4          1.04245         0.381457            28.22
            6500               12                5          1.04784         0.429927            28.22
            6500               12                6          1.05667         0.509287            28.22
            6500               12                7          1.06949         0.624442            28.22
            6500               13                3          1.04743         0.426232            28.26
            6500               13                4          1.05162         0.463894            28.26
            6500               13                5          1.05747         0.516419            28.26
            6500               13                6          1.06634         0.596123            28.26
            6500               13                7          1.08067         0.724937            28.26
            6500               14                3          1.05629          0.50584            28.30
            6500               14                4          1.06145         0.552186            28.30
            6500               14                5          1.06764         0.607803            28.30
            6500               14                6          1.07798         0.700798            28.30
            6500               14                7          1.09449         0.849152            28.30
            6500               15                3          1.07095         0.637608            28.43
            6500               15                4          1.07874         0.707591            28.43
            6500               15                5          1.08732         0.784729            28.43
            6500               15                6          1.10383         0.933043            28.43
            6500               15                7          1.12093          1.08672            28.43
            7000               11                3          1.03221         0.289471            28.39
            7000               11                4          1.03524         0.316673            28.39
            7000               11                5          1.04013         0.360589            28.39
            7000               11                6          1.04746         0.426501            28.39
            7000               11                7          1.05737          0.51557            28.39
            7000               12                3          1.03962         0.356031            28.22
            7000               12                4          1.04294         0.385864            28.22
            7000               12                5          1.04835           0.4345            28.22
            7000               12                6          1.05694         0.511662            28.22
            7000               12                7          1.07051         0.633611            28.22
            7000               13                3          1.04871         0.437695            28.26
            7000               13                4          1.05331         0.479049            28.26
            7000               13                5          1.05924         0.532381            28.26
            7000               13                6           1.0685         0.615579            28.26
            7000               13                7          1.08309          0.74665            28.26
            7000               14                3          1.06017         0.540672            28.30
            7000               14                4          1.06426         0.577433            28.30
            7000               14                5          1.07102         0.638197            28.30
            7000               14                6           1.0854         0.767439            28.30
            7000               14                7          1.10016         0.900092            28.30
            7000               15                3          1.07927          0.71233            28.43
            7000               15                4          1.08713         0.782966            28.43
            7000               15                5          1.09801         0.880765            28.43
            7000               15                6          1.11272          1.01295            28.43
            7000               15                7           1.1352          1.21494            28.43
